Terminal,Station,Latitude,Longitude,Nb docks
30130,Livingston Avenue Riverfront,44.942438,-93.087507,19
30131,Harriet Island,44.93768,-93.094532,23
30132,Kellogg Blvd & Wabasha Street,44.943846,-93.09227,19
30133,Wabasha Street S & Cesar Chavez Street,44.934503,-93.084497,15
30134,Upper Landing,44.936451,-93.103595,23
30135,7th Street W & Grand Ave,44.94144,-93.10624,19
30136,Science Museum of Minnesota,44.942846,-93.097836,19
30137,Selby Ave & Virginia Street,44.9467,-93.1151,19
30138,N  Western Ave & Central Ave,44.9525,-93.11599,15
30139,E 14th Street & N Robert Street ,44.954697,-93.097817,25
30140,N Marion Street & University Ave W,44.95476,-93.10955,15
30141,N Robert Street & E 10th Street,44.951132,-93.094545,19
30142,9th Street N & Hawthorne Ave,44.977128,-93.277505,25
30143,Chicago Ave & Washington Ave S,44.977521,-93.256736,19
30144,N 4th Ave & W River Road,44.988461,-93.269087,15
30145,Minneapolis Park & Recreation Board,45.00095,-93.277037,15
